אפיק השקעה	מס מסלול	שם מסלול אחיד	שם חברה	חברה מקוצר	סוג חיסכון	סוג קופה	סוג מסלול	ח.פ	שנה	רבעון	תרומה	משקל	תשואה
השקעות אחרות	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2025	2	-0.000184662	0.002552244	-0.072352844
השקעות אחרות	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2025	3	-0.000246774	-0.000397577	0.620695939
מזומנים ושווי מזומנים	18013	מנורה-קרן י' חדשה	מנורה מבטחים פנסיה וגמל	מנורה	קרן י'	קרן י'	ביטוח	520042540	2020	1	0.000794832	0.066614776	0.011931764
מזומנים ושווי מזומנים	18013	מנורה-קרן י' חדשה	מנורה מבטחים פנסיה וגמל	מנורה	קרן י'	קרן י'	ביטוח	520042540	2020	2	-0.000105716	0.052529952	-0.002012497
מזומנים ושווי מזומנים	18013	מנורה-קרן י' חדשה	מנורה מבטחים פנסיה וגמל	מנורה	קרן י'	קרן י'	ביטוח	520042540	2020	3	9.60E-05	0.059508564	0.001613052
מזומנים ושווי מזומנים	18013	מנורה-קרן י' חדשה	מנורה מבטחים פנסיה וגמל	מנורה	קרן י'	קרן י'	ביטוח	520042540	2020	4	-0.00129293	0.053600306	-0.024121685
אגרות חוב ממשלתיות	18013	מנורה-קרן י' חדשה	מנורה מבטחים פנסיה וגמל	מנורה	קרן י'	קרן י'	ביטוח	520042540	2020	1	-0.011398799	0.389375247	-0.029274586
אגרות חוב ממשלתיות	18013	מנורה-קרן י' חדשה	מנורה מבטחים פנסיה וגמל	מנורה	קרן י'	קרן י'	ביטוח	520042540	2020	2	-0.000362424	0.40243596	-0.000900576
אגרות חוב ממשלתיות	18013	מנורה-קרן י' חדשה	מנורה מבטחים פנסיה וגמל	מנורה	קרן י'	קרן י'	ביטוח	520042540	2020	3	-0.001809187	0.39924155	-0.004531559
אגרות חוב ממשלתיות	18013	מנורה-קרן י' חדשה	מנורה מבטחים פנסיה וגמל	מנורה	קרן י'	קרן י'	ביטוח	520042540	2020	4	0.008111058	0.39501843	0.020533365
אגרות חוב קונצרניות	18013	מנורה-קרן י' חדשה	מנורה מבטחים פנסיה וגמל	מנורה	קרן י'	קרן י'	ביטוח	520042540	2020	1	-0.007301684	0.074136673	-0.0984895
אגרות חוב קונצרניות	18013	מנורה-קרן י' חדשה	מנורה מבטחים פנסיה וגמל	מנורה	קרן י'	קרן י'	ביטוח	520042540	2020	2	-0.00339631	0.078890952	-0.043050685
